Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
Male,53,Yes,1,8,71,Offer A,Yes,14.86,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,19.7,1301.1,0.0,0,1055.06,2356.16
Male,53,No,0,0,15,Offer D,Yes,10.12,Yes,Yes,Fiber Optic,15.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.7,1566.75,0.0,0,151.8,1718.55
Female,38,Yes,0,10,61,Offer B,No,0.0,No Phone Service,Yes,DSL,17.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,51.35,3244.4,0.0,0,0.0,3244.4
Female,20,Yes,0,7,63,Offer B,Yes,34.51,No,Yes,Fiber Optic,46.0,Yes,No,Yes,No,No,No,Yes,Yes,One Year,Yes,Credit Card,81.15,5224.5,0.0,0,2174.13,7398.63
Female,33,No,0,0,22,Offer D,Yes,32.75,Yes,Yes,DSL,24.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,59.05,1253.5,0.0,0,720.5,1974.0
Male,43,No,0,0,11,Offer D,Yes,47.88,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,20.35,215.25,0.0,0,526.68,741.93
Male,58,No,0,0,62,Offer B,Yes,22.64,Yes,Yes,Fiber Optic,9.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,96.75,6125.4,0.0,0,1403.68,7529.08
Male,21,Yes,0,1,1,Offer E,Yes,23.41,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,19.65,19.65,0.0,0,23.41,43.06
Male,37,Yes,0,1,61,Offer B,Yes,4.69,Yes,Yes,Cable,4.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,69.9,4226.7,0.0,0,286.09,4512.79
Male,51,No,0,0,54,Offer B,No,0.0,No Phone Service,Yes,DSL,7.0,Yes,Yes,No,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,46.2,2431.95,0.0,0,0.0,2431.95
Male,39,Yes,3,1,18,Offer D,Yes,45.18,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,19.8,342.3,0.0,0,813.24,1155.54
Female,33,No,0,0,53,Offer B,Yes,12.92,Yes,Yes,Fiber Optic,19.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,105.55,5682.25,0.0,0,684.76,6367.01
Male,60,No,0,0,6,Offer E,Yes,20.11,No,Yes,DSL,5.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,59.15,336.7,0.0,0,120.66,457.36
Male,63,No,0,0,62,Offer B,Yes,8.08,Yes,Yes,Fiber Optic,21.0,Yes,Yes,No,Yes,No,Yes,Yes,No,One Year,No,Bank Withdrawal,102.0,6529.25,0.0,110,500.96,7140.21
Female,59,Yes,3,6,3,Offer E,No,0.0,No Phone Service,Yes,Cable,53.0,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,40.3,92.5,0.0,0,0.0,92.5
Male,43,No,0,0,5,Offer E,Yes,38.89,Yes,Yes,Fiber Optic,8.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,104.1,541.9,0.0,0,194.45,736.35
Female,22,Yes,0,4,48,Offer B,Yes,39.25,Yes,Yes,Fiber Optic,51.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,105.1,5083.55,0.0,0,1884.0,6967.55
Female,64,No,0,0,6,Offer E,Yes,43.18,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,20.2,123.65,0.0,0,259.08,382.73
Female,49,No,0,0,49,Offer B,Yes,27.2,Yes,Yes,Fiber Optic,24.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.5,3906.7,0.0,0,1332.8,5239.5
Male,58,No,0,0,58,Offer B,Yes,29.25,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,20.3,1131.5,0.0,0,1696.5,2828.0
Male,47,No,0,0,1,Offer E,Yes,1.13,No,Yes,Fiber Optic,6.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.85,90.85,0.0,0,1.13,91.98
Male,28,No,0,0,7,Offer E,No,0.0,No Phone Service,Yes,DSL,48.0,No,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.5,249.55,0.0,0,0.0,249.55
Male,23,Yes,0,2,51,Offer B,Yes,39.32,Yes,Yes,Fiber Optic,76.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,111.55,5720.35,0.0,0,2005.32,7725.67
Male,19,No,0,0,26,Offer C,Yes,49.87,Yes,Yes,Fiber Optic,48.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,86.65,2208.75,0.0,0,1296.62,3505.37
Female,54,No,0,0,19,Offer D,Yes,36.88,Yes,Yes,DSL,27.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,56.1,1033.9,0.0,0,700.72,1734.62
Female,71,Yes,0,1,72,Offer A,Yes,20.48,Yes,Yes,DSL,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,88.05,6425.65,0.0,0,1474.56,7900.21
Male,33,Yes,0,3,33,Offer C,Yes,33.32,No,Yes,DSL,4.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,73.9,2405.05,0.0,0,1099.56,3504.61
Male,34,Yes,0,1,21,Offer D,Yes,17.57,Yes,Yes,Cable,14.0,Yes,Yes,No,Yes,Yes,No,No,No,One Year,No,Mailed Check,77.5,1625.0,18.39,80,368.97,2055.58
Male,23,Yes,2,8,69,Offer A,Yes,26.44,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Credit Card,20.55,1403.1,0.0,0,1824.36,3227.46
Male,52,No,0,0,72,Offer A,Yes,3.43,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,19.85,1434.1,0.0,0,246.96,1681.06
Male,39,No,0,0,49,Offer B,Yes,23.82,Yes,Yes,Fiber Optic,18.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.6,3720.35,0.0,0,1167.18,4887.53
Male,39,No,0,0,24,Offer C,Yes,25.68,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.65,2404.85,0.0,0,616.32,3021.17
Male,30,Yes,0,2,65,Offer B,Yes,18.07,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,19.9,1292.6,0.0,0,1174.55,2467.15
Female,27,No,0,0,13,Offer D,Yes,22.01,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,20.3,275.4,0.0,0,286.13,561.53
Male,26,No,0,0,1,Offer E,Yes,23.63,Yes,Yes,Cable,85.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,60.1,60.1,0.0,0,23.63,83.73
Female,43,No,0,0,2,Offer E,Yes,5.47,No,Yes,DSL,29.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.85,105.6,0.0,0,10.94,116.54
Male,20,Yes,0,5,64,Offer B,Yes,26.64,No,Yes,DSL,71.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,73.05,4688.65,0.0,0,1704.96,6393.61
Female,41,No,0,0,1,Offer E,Yes,10.19,No,Yes,Fiber Optic,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,71.1,71.1,0.0,0,10.19,81.29
Female,28,Yes,0,1,2,Offer E,Yes,9.76,No,Yes,Cable,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.7,141.45,0.0,0,19.52,160.97
Female,53,Yes,3,8,55,Offer B,Yes,38.51,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,21.0,1210.3,0.0,0,2118.05,3328.35
Male,49,Yes,3,10,8,Offer E,Yes,1.56,No,Yes,DSL,57.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.4,475.1,0.0,0,12.48,487.58
Female,48,Yes,0,3,63,Offer B,Yes,8.98,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,100.55,6215.35,0.0,0,565.74,6781.09
Male,24,No,0,0,16,Offer D,Yes,21.04,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Bank Withdrawal,20.25,327.45,0.0,0,336.64,664.09
Male,79,Yes,0,9,64,Offer B,Yes,23.33,Yes,Yes,Fiber Optic,29.0,No,Yes,Yes,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,94.25,6081.4,0.0,0,1493.12,7574.52
Female,40,No,0,0,3,Offer E,Yes,15.37,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,20.0,61.7,0.0,0,46.11,107.81
Female,36,Yes,0,1,16,Offer D,No,0.0,No Phone Service,Yes,DSL,29.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.95,810.2,0.0,0,0.0,810.2
Male,64,No,0,0,1,Offer E,Yes,8.56,Yes,Yes,Fiber Optic,24.0,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,90.85,90.85,0.0,0,8.56,99.41
Male,35,No,0,0,9,Offer E,Yes,11.5,Yes,Yes,Fiber Optic,14.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.5,791.7,0.0,0,103.5,895.2
Female,60,No,0,0,32,Offer C,No,0.0,No Phone Service,Yes,DSL,18.0,Yes,No,No,No,No,No,No,Yes,One Year,No,Credit Card,30.15,927.65,0.0,0,0.0,927.65
Male,52,No,2,0,47,Offer B,Yes,25.25,No,Yes,Cable,17.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,55.3,2654.05,0.0,0,1186.75,3840.8
Male,69,Yes,0,2,38,Offer C,No,0.0,No Phone Service,Yes,Cable,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,24.85,955.75,0.0,0,0.0,955.75
Female,36,No,0,0,4,Offer E,Yes,39.9,No,Yes,Cable,20.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.3,196.95,0.0,0,159.6,356.55
Female,68,No,0,0,26,Offer C,Yes,9.09,Yes,Yes,Fiber Optic,12.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.15,2277.65,0.0,0,236.34,2513.99
Male,50,Yes,0,4,70,Offer A,Yes,38.58,Yes,Yes,DSL,25.0,No,Yes,Yes,Yes,Yes,No,No,No,Two Year,No,Bank Withdrawal,72.95,5265.55,0.0,60,2700.6,8026.15
Male,19,No,0,0,55,Offer B,Yes,42.19,No,Yes,Fiber Optic,51.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,100.9,5552.05,0.0,0,2320.45,7872.5
Male,35,No,0,0,10,Offer D,Yes,3.01,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,24.0,226.55,0.0,0,30.1,256.65
Male,44,No,0,0,12,Offer D,Yes,18.38,No,Yes,Fiber Optic,3.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,81.7,858.6,0.0,0,220.56,1079.16
Male,30,No,0,0,5,Offer E,Yes,5.78,No,Yes,Fiber Optic,52.0,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,80.6,415.55,36.44,40,28.9,448.01
Female,20,Yes,2,1,23,Offer D,Yes,27.97,Yes,Yes,Cable,51.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,91.1,2198.3,0.0,0,643.31,2841.61
Male,39,No,0,0,66,Offer A,Yes,49.13,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,25.1,1697.7,0.0,0,3242.58,4940.28
Female,19,Yes,0,1,25,Offer C,No,0.0,No Phone Service,Yes,Cable,82.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.0,853.0,0.0,0,0.0,853.0
Female,20,No,0,0,1,Offer E,Yes,17.23,No,Yes,Fiber Optic,52.0,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,91.7,91.7,0.0,0,17.23,108.93
Female,21,Yes,0,0,51,Offer B,No,0.0,No Phone Service,Yes,DSL,42.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.65,2553.35,0.0,0,0.0,2553.35
Male,52,No,0,0,13,Offer D,No,0.0,No Phone Service,Yes,DSL,17.0,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,45.55,597.0,0.0,0,0.0,597.0
Male,46,No,0,0,4,Offer E,Yes,33.93,No,Yes,Cable,20.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,199.75,0.0,0,135.72,335.47
Male,50,Yes,0,6,65,Offer B,Yes,39.49,Yes,Yes,DSL,18.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,No,Credit Card,67.05,4309.55,0.0,0,2566.85,6876.4
Male,32,No,0,0,67,Offer A,Yes,15.32,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,19.95,1311.75,0.0,0,1026.44,2338.19
Female,51,Yes,2,10,56,Offer B,Yes,25.9,Yes,Yes,Cable,30.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,81.25,4620.4,0.0,0,1450.4,6070.8
Male,48,No,0,0,1,Offer E,Yes,27.58,No,Yes,Fiber Optic,16.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.95,69.95,0.0,0,27.58,97.53
Male,60,No,0,0,12,Offer D,Yes,33.36,Yes,Yes,Fiber Optic,22.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.55,1021.75,0.0,0,400.32,1422.07
Female,45,No,2,0,50,Offer B,Yes,36.11,No,Yes,Fiber Optic,20.0,No,No,No,No,No,No,No,Yes,Two Year,No,Credit Card,70.35,3533.6,0.0,0,1805.5,5339.1
Female,54,Yes,0,3,49,Offer B,Yes,13.13,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,19.0,918.7,0.0,0,643.37,1562.07
Female,35,No,0,0,63,Offer B,Yes,27.38,No,Yes,DSL,9.0,No,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Credit Card,58.55,3503.5,0.0,0,1724.94,5228.44
Female,47,No,0,0,41,Offer B,Yes,31.08,Yes,Yes,DSL,12.0,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,74.65,3090.65,0.0,100,1274.28,4464.93
Female,30,Yes,2,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88
Female,60,No,0,0,10,Offer D,Yes,41.04,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,18.85,163.2,0.0,0,410.4,573.6
Male,80,Yes,0,1,51,Offer B,Yes,22.14,Yes,Yes,Fiber Optic,30.0,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.8,4750.95,0.0,0,1129.14,5880.09
Female,23,No,0,0,1,Offer E,Yes,30.6,No,Yes,Fiber Optic,27.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,70.8,70.8,0.0,0,30.6,101.4
Female,19,No,0,0,26,Offer C,Yes,45.09,No,Yes,Fiber Optic,41.0,Yes,No,Yes,Yes,No,No,No,No,One Year,Yes,Credit Card,87.15,2274.1,0.0,20,1172.34,3466.44
Female,50,Yes,2,6,70,Offer A,Yes,4.11,Yes,Yes,Cable,16.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,80.7,5617.95,0.0,0,287.7,5905.65
Female,48,No,0,0,45,Offer B,Yes,8.4,No,Yes,DSL,8.0,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,62.55,2796.45,0.0,0,378.0,3174.45
